,value
2023-03-29,103717.34017814562
2023-03-31,105313.44370120796
2023-04-03,106751.23056983764
2023-04-05,107452.07854842383
2023-04-06,107943.05517934766
2023-04-10,108265.59074799292
2023-04-11,109392.4328727965
2023-04-12,110046.95779463094
2023-04-13,109857.81191945061
2023-04-17,109983.16853098589
2023-04-18,110302.42893358586
2023-04-19,109958.33372911121
2023-04-20,110401.04538151104
2023-04-21,110606.2287602789
2023-04-24,111572.97075848335
2023-04-25,112890.58229678146
2023-04-26,113246.76301601717
2023-04-27,113797.7049597879
2023-04-28,115087.69016002436
2023-05-02,117636.86926164139
2023-05-03,117496.48057100551
2023-05-04,118574.9259841256
2023-05-05,118436.15229236249
2023-05-08,119336.3118386553
2023-05-09,118741.23708703434
2023-05-10,118823.21374083824
2023-05-11,119695.3670792282
2023-05-12,120111.08743340477
2023-05-15,120375.78802973706
2023-05-16,121109.15677081393
2023-05-17,121599.0632478624
2023-05-18,120794.0915607123
2023-05-19,121334.60803046628
2023-05-22,121950.90159913113
2023-05-23,122609.50553062791
2023-05-24,122372.5032436956
2023-05-25,122799.47960246836
2023-05-26,123941.70381785587
2023-05-29,124953.62998039801
2023-05-30,125931.45564646414
2023-05-31,127036.65216250184
2023-06-01,127353.9213402715
2023-06-02,128227.94516660656
2023-06-05,129221.31846952827
2023-06-06,130910.42566160904
2023-06-07,132246.96571011434
2023-06-08,131281.50376855908
2023-06-09,131610.60301304524
2023-06-12,132004.98650220293
2023-06-13,132606.3666054435
2023-06-14,132257.96557592732
2023-06-15,131705.00474336458
2023-06-16,133360.82820171188
2023-06-19,133409.30040817126
2023-06-20,133488.28581671295
2023-06-21,134333.88577015925
2023-06-22,132971.3743875023
2023-06-23,130878.68191642329
2023-06-26,131979.42610544126
2023-06-27,132913.23268475357
2023-06-28,133953.41587468272
2023-06-30,134479.6269307649
2023-07-03,135414.91241891924
2023-07-04,135973.1156841212
2023-07-05,136736.8306368963
2023-07-06,137409.0976837717
2023-07-07,136876.85353569005
2023-07-10,136644.41340126362
2023-07-11,137510.21102210705
2023-07-12,139340.51087110912
2023-07-13,139472.1933151292
2023-07-14,140525.078909016
2023-07-17,141250.44783856647
2023-07-18,140560.3007903582
2023-07-19,141636.0615849171
2023-07-20,143846.90142747757
2023-07-21,144165.12098195407
2023-07-24,144022.74063509822
2023-07-25,144267.39160496648
2023-07-26,143778.8100839111
2023-07-27,143319.10134864715
2023-07-28,143946.12552065155
2023-07-31,145904.01706999453
2023-08-01,146219.21343065897
2023-08-02,143946.05248720985
2023-08-03,144222.08058575384
2023-08-04,145129.372801645
2023-08-07,145752.9447230278
2023-08-08,146488.3098300432
2023-08-09,147239.45581998018
2023-08-10,146613.0099213438
2023-08-11,145822.49034830663
2023-08-14,145173.14914887366
2023-08-16,145479.19325120578
2023-08-17,146772.92603223072
2023-08-18,145326.4019932583
2023-08-21,146733.16340510678
2023-08-22,148673.91492396692
2023-08-23,148719.34414220173
2023-08-24,148507.18633559396
2023-08-25,147835.94150909965
2023-08-28,147963.9927091027
2023-08-29,148654.29034370478
2023-08-30,149593.5362921744
2023-08-31,150413.28040931874
2023-09-01,152607.10523171656
2023-09-04,153892.61944696066
2023-09-05,155352.02222228938
2023-09-06,156104.15372328364
2023-09-07,156613.68442929152
2023-09-08,157970.4197840227
2023-09-11,159840.46489218483
2023-09-12,154401.09591336563
2023-09-13,154621.97167683474
2023-09-14,156201.9205616301
2023-09-15,155896.03961736875
2023-09-18,154371.3192931829
2023-09-20,153683.92415757425
2023-09-21,152564.26274545694
2023-09-22,152513.0092068714
2023-09-25,153618.33914821592
2023-09-26,154573.98621898235
2023-09-27,156601.81591019465
2023-09-28,154716.93994027525
2023-09-29,155544.26766045776
2023-10-03,157055.48086272972
2023-10-04,155199.80975724588
2023-10-05,155743.9789831583
2023-10-06,157526.74342219182
2023-10-09,154520.5940878643
2023-10-10,157184.5743855759
2023-10-11,157930.5221480727
2023-10-12,158093.56221880074
2023-10-13,157926.5396937563
2023-10-16,158311.59999256063
2023-10-17,160697.30462135616
2023-10-18,160442.2871509531
2023-10-19,160637.1490145196
2023-10-20,159544.38065355146
2023-10-23,153282.19648261013
2023-10-25,152552.36776319612
2023-10-26,152644.2319341539
2023-10-27,156054.33803618044
2023-10-30,154532.1283208462
2023-10-31,154175.05086317996
2023-11-01,153759.88525648607
2023-11-02,154486.85748198553
2023-11-03,156065.3044190867
2023-11-06,158678.07371005302
2023-11-07,159440.8186411413
2023-11-08,160022.5392558896
2023-11-09,158030.76533568496
2023-11-10,158279.11188701756
2023-11-12,160571.49825962947
2023-11-13,160208.1589972005
2023-11-15,161591.92803140846
2023-11-16,161858.37128172434
2023-11-17,161210.08095529757
2023-11-20,160116.86508516932
2023-11-21,160849.0254108337
2023-11-22,159968.44192268467
2023-11-23,161018.00459757328
2023-11-24,162407.96178740577
2023-11-28,163815.64461723145
2023-11-29,164569.936430419
2023-11-30,166211.37755014797
2023-12-01,166606.41175980074
2023-12-04,169146.6353970927
2023-12-05,170703.41040346256
2023-12-06,171188.82662083482
2023-12-07,172220.5806898894
2023-12-08,171962.94776244703
2023-12-11,174397.72674397292
2023-12-12,173837.20107004407
2023-12-13,174423.37615074147
2023-12-14,175919.88416489965
2023-12-15,176400.55688076338
2023-12-18,177479.71389391876
2023-12-19,178120.00250489166
2023-12-20,171706.0700717718
2023-12-21,175185.66970133875
2023-12-22,175522.0513351414
2023-12-26,175657.4899531557
2023-12-27,175852.6084874109
2023-12-28,176085.94214369755
2023-12-29,177342.14246058685
2024-01-01,177517.13194373163
2024-01-02,177522.4520125429
2024-01-03,177735.12115237655
2024-01-04,180542.0982877831
2024-01-05,180177.41108368782
2024-01-08,179131.58516891205
2024-01-09,179538.12395400967
2024-01-10,180092.14202211995
2024-01-11,181676.4295262205
2024-01-12,181974.06844032631
2024-01-15,183781.72714854806
2024-01-16,182467.1428964036
2024-01-17,180769.25006963176
2024-01-18,179390.77828785506
2024-01-19,181791.48363905802
2024-01-20,183181.08364138298
2024-01-23,177431.5576844998
2024-01-24,178347.9992701858
2024-01-25,178467.52041836185
2024-01-29,180523.362891415
2024-01-30,179930.95461140273
2024-01-31,182000.72968261075
2024-02-01,181301.45020058574
2024-02-02,182222.58979424194
2024-02-05,182543.54605230104
2024-02-06,183204.1451146357
2024-02-07,183581.92010718968
2024-02-08,183062.50973304515
2024-02-09,181692.35593923446
2024-02-12,176750.0472359487
2024-02-13,176271.78805824474
2024-02-14,177139.6973422975
2024-02-15,179885.92384415062
2024-02-16,182068.42386917467
2024-02-19,183382.11351344237
2024-02-20,183821.75188557725
2024-02-21,182683.79089428947
2024-02-22,184192.3580000331
2024-02-23,187995.18723685632
2024-02-26,189124.77014740754
2024-02-27,188359.27111881235
2024-02-28,184223.56087813864
2024-02-29,186533.50681190085
2024-03-01,187471.98627862253
2024-03-02,189500.46939518122
2024-03-04,188065.88152032183
2024-03-05,185774.27988026603
2024-03-06,182839.0568789857
2024-03-07,183948.78987090793
2024-03-11,181299.23769114402
2024-03-12,179130.15578248218
2024-03-13,169369.60006489017
2024-03-14,174183.1661320259
2024-03-15,174255.8437647635
2024-03-18,173979.34518150229
2024-03-19,172175.8655934751
2024-03-20,170814.05169179325
2024-03-21,174803.14626786765
2024-03-22,176566.1369995041
2024-03-26,177155.2938775362
2024-03-27,177595.47129506955
2024-03-28,178930.68254973833
2024-04-01,183890.39026004716
2024-04-02,186412.21454414737
2024-04-03,187663.99755056723
2024-04-04,189260.38072289483
2024-04-05,190463.9115226421
2024-04-08,190568.32346657736
2024-04-09,190115.4446841909
2024-04-10,192054.87499779774
2024-04-12,191550.37913873608
2024-04-15,186774.85833531115
2024-04-16,187554.6039722062
2024-04-18,186432.23479343776
2024-04-19,186877.07954617057
2024-04-22,189641.19902318958
2024-04-23,191404.62477297522
2024-04-24,191630.85728183543
2024-04-25,193959.52608938073
2024-04-26,192857.1133011534
2024-04-29,193820.18401037258
2024-04-30,194730.95392854346
2024-05-02,195973.57916390197
2024-05-03,195953.5699565227
2024-05-06,193276.55389552144
2024-05-07,191139.43912379956
2024-05-08,191864.7583872645
2024-05-09,187652.48095733635
2024-05-10,188857.50594556122
2024-05-13,187533.85610878357
2024-05-14,190768.9044902141
2024-05-15,191965.68508181963
2024-05-16,193072.3505908026
2024-05-17,196159.4899308807
2024-05-18,197901.12166451075
2024-05-21,197722.53192352052
2024-05-22,197240.61493521073
2024-05-23,199095.5805648729
2024-05-24,197808.4092389776
2024-05-27,197166.3467025338
2024-05-28,195090.3442477257
2024-05-29,193128.2950873995
2024-05-30,190704.109201153
2024-05-31,192887.08469142436
2024-06-03,196213.02000822139
2024-06-04,181393.2011524808
2024-06-05,187113.3044922264
2024-06-06,190216.72697412505
2024-06-07,194511.64057742426
2024-06-10,195099.77775942432
2024-06-11,196627.8098939099
2024-06-12,197622.37305261972
2024-06-13,199399.5101602671
2024-06-14,201803.0676434466
2024-06-18,204115.58813104237
2024-06-19,202647.8359294159
2024-06-20,203102.79372468227
2024-06-21,203541.84402220455
2024-06-24,203567.1110703455
2024-06-25,203252.5461697487
2024-06-26,202166.520011815
2024-06-27,201621.93555783824
2024-06-28,203327.7251646333
2024-07-01,205330.38315529627
2024-07-02,205695.66808110155
2024-07-03,208535.26862712903
2024-07-04,209044.90817935564
2024-07-05,211411.87567649013
2024-07-08,211393.0918502575
2024-07-09,210505.7188819357
2024-07-10,210752.00890239523
2024-07-11,212530.25263819905
2024-07-12,212841.66066598365
2024-07-15,214066.78944486982
2024-07-16,213978.76423878595
2024-07-18,211650.14807049968
2024-07-19,207947.97159263215
2024-07-22,210126.0895696783
2024-07-23,209908.92065929066
2024-07-24,211668.39724418896
2024-07-25,211136.37050909476
2024-07-26,211956.76713575047
2024-07-29,214425.8586084982
2024-07-30,214187.54785881625
2024-07-31,213948.44379487447
2024-08-01,214292.81080047207
2024-08-02,212360.41603434598
2024-08-05,203918.54366352686
2024-08-06,202332.48639676545
2024-08-07,206203.54893464298
2024-08-08,205846.7562094933
2024-08-09,206875.10274532106
2024-08-12,207873.124921131
2024-08-13,205224.89911026973
2024-08-14,204512.64336187855
2024-08-16,209226.46372055667
2024-08-19,209621.18929542095
2024-08-20,211899.66786861815
2024-08-21,212190.55431331042
2024-08-22,213637.70707864923
2024-08-23,210364.6155951848
2024-08-26,210142.21709050026
2024-08-27,211436.72279779598
2024-08-28,211021.47303992443
2024-08-29,209399.96753941977
2024-08-30,211689.56368853987
2024-09-02,210865.54861993872
2024-09-03,212179.06479679293
2024-09-04,211925.1228939706
2024-09-05,212824.73205231724
2024-09-06,210507.36676641312
2024-09-09,209935.03133382677
2024-09-10,212234.6802789634
2024-09-11,210425.3788815504
2024-09-12,211283.31230414208
