date,SBIN,HDFCBANK,BAJFINANCE,NEWGEN,IRCTC,AEROFLEX
2025-02-21,722.0,1692.5,8396.7,975.7,731.1,195.53
2025-02-24,716.4,1677.1,8354.95,959.4,720.35,189.01
2025-02-25,710.9,1682.35,8488.8,959.95,710.35,189.79
2025-02-27,703.9,1700.7,8705.4,989.95,694.35,183.91
2025-02-28,688.8,1732.4,8530.3,936.25,670.95,171.75
2025-03-03,695.3,1701.55,8627.85,945.15,676.6,162.2
2025-03-04,716.05,1710.0,8585.95,948.65,673.85,162.22
2025-03-05,730.35,1690.0,8298.7,992.1,695.15,169.29
2025-03-06,732.05,1691.2,8410.85,997.75,702.35,171.44
2025-03-07,732.75,1689.25,8404.5,992.1,700.65,176.42
2025-03-10,728.9,1687.5,8342.6,940.2,689.7,165.14
2025-03-11,729.85,1685.5,8340.45,944.5,691.15,166.59
2025-03-12,723.05,1711.15,8484.45,946.5,698.2,163.85
2025-03-13,727.85,1706.6,8420.45,949.3,689.05,162.71
2025-03-17,723.15,1710.4,8580.35,936.9,690.65,165.55
2025-03-18,736.7,1732.2,8682.5,935.45,705.9,170.88
2025-03-19,745.1,1744.1,8731.6,918.45,717.65,174.27
2025-03-20,749.55,1768.75,8679.65,962.1,714.85,174.21
2025-03-21,753.2,1770.35,8916.1,1034.15,722.2,176.81
2025-03-24,780.8,1800.0,9090.05,1022.35,726.95,183.74
2025-03-25,772.85,1821.45,9067.25,993.35,717.15,176.21
2025-03-26,764.0,1806.55,8866.05,968.9,704.45,171.74
2025-03-27,772.3,1825.35,9003.85,1009.9,718.05,174.87
2025-03-28,771.5,1828.2,8945.6,996.3,727.5,170.17
2025-04-01,771.7,1767.85,8698.2,992.0,724.25,171.79
2025-04-02,775.95,1796.9,8669.25,1003.75,727.45,174.85
2025-04-03,779.2,1794.85,8594.6,992.25,738.25,180.98
2025-04-04,767.45,1817.3,8718.85,921.8,714.1,175.49
2025-04-07,746.9,1757.7,8568.0,842.4,697.4,166.55
2025-04-08,768.6,1769.15,8822.25,907.35,713.95,173.02
2025-04-09,742.2,1765.0,8735.8,876.25,715.2,162.96
2025-04-11,753.85,1806.75,8921.1,905.3,730.7,165.14
2025-04-15,763.5,1864.9,9141.0,941.85,754.5,173.03
2025-04-16,771.75,1878.0,9056.5,942.55,760.6,175.76
2025-04-17,797.45,1906.7,9162.5,926.1,769.4,175.64
2025-04-21,816.7,1927.1,9273.5,949.85,774.65,179.61
2025-04-22,822.4,1961.7,9260.5,941.0,774.85,180.31
2025-04-23,813.45,1923.9,9323.0,993.15,784.95,181.03
2025-04-24,813.4,1916.8,9301.0,1101.4,777.05,180.81
2025-04-25,798.65,1911.2,9112.0,1055.65,751.85,172.52
2025-04-28,817.35,1920.2,9093.0,1025.9,764.05,176.78
2025-04-29,812.55,1908.8,9093.0,1035.75,762.35,177.63
2025-04-30,788.65,1925.0,8634.5,986.55,751.5,175.72
2025-05-02,800.0,1925.0,8862.5,1005.75,748.65,165.11
2025-05-05,790.0,1936.8,8932.0,1041.7,765.45,164.78
2025-05-06,774.1,1931.7,8797.5,1078.2,736.75,162.04
2025-05-07,776.1,1945.6,8986.5,1082.15,741.5,159.91
2025-05-08,769.0,1928.5,8832.5,1069.1,727.95,157.53
2025-05-09,779.25,1889.7,8641.0,1074.75,722.55,157.44
2025-05-12,801.65,1957.2,9018.5,1117.9,763.45,162.88
2025-05-13,801.75,1922.6,9042.0,1153.7,764.0,166.03
